216.244.66.246 - - [30/Apr/2017:04:28:11 +0000] "GET /docs/triton/pages.html HTTP/1.1" 200 5639 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/js_composer/assets/lib/bower/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71893 "http://sundog-soft.com/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.1.2" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
52.15.127.156 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/uploads/2011/07/newwake2-360x187.jpg HTTP/1.1" 200 11057 "-" "Amazon CloudFront"
52.15.127.128 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/uploads/2009/12/destroyer-360x187.jpg HTTP/1.1" 200 6997 "-" "Amazon CloudFront"
142.160.107.21 - - [30/Apr/2017:04:38:58 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
54.210.20.202 - - [30/Apr/2017:04:38:58 +0000] "POST /wp-cron.php?doing_wp_cron=1493527138.4255080223083496093750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527138.4255080223083496093750" "WordPress/4.7.4; http://sundog-soft.com"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "POST /features/ocean-and-water-rendering-with-triton/?wc-ajax=get_refreshed_fragments HTTP/1.1" 200 255 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [30/Apr/2017:04:39:03 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips PHP/5.6.30 (internal dummy connection)"
::1 - - [30/Apr/2017:04:39:04 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips PHP/5.6.30 (internal dummy connection)"
::1 - - [30/Apr/2017:04:39:05 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips PHP/5.6.30 (internal dummy connection)"
142.160.107.21 - - [30/Apr/2017:04:39:05 +0000] "GET /2015/05/simulated-water-refraction-using-transparency/ HTTP/1.1" 200 15687 "https://www.google.ca/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [30/Apr/2017:04:39:06 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips PHP/5.6.30 (internal dummy connection)"
52.15.127.156 - - [30/Apr/2017:04:39:06 +0000] "GET /wp-content/uploads/2015/05/refract-above-300x163.jpg HTTP/1.1" 200 5797 "-" "Amazon CloudFront"
52.15.127.150 - - [30/Apr/2017:04:39:06 +0000] "GET /wp-content/uploads/2015/05/refract-under-300x163.jpg HTTP/1.1" 200 4802 "-" "Amazon CloudFront"
142.160.107.21 - - [30/Apr/2017:04:39:06 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://sundog-soft.com/2015/05/simulated-water-refraction-using-transparency/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
::1 - - [30/Apr/2017:04:39:14 +0000] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips PHP/5.6.30 (internal dummy connection)"
66.249.64.194 - - [30/Apr/2017:04:39:15 +0000] "GET /sds/feed/ HTTP/1.1" 301 236 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
54.210.20.202 - - [30/Apr/2017:04:39:16 +0000] "POST /wp-cron.php?doing_wp_cron=1493527156.5531759262084960937500 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527156.5531759262084960937500" "WordPress/4.7.4; http://sundog-soft.com"
66.249.64.194 - - [30/Apr/2017:04:39:15 +0000] "GET /feed/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
54.210.20.202 - - [30/Apr/2017:04:40:09 +0000] "POST /wp-cron.php?doing_wp_cron=1493527209.7325980663299560546875 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527209.7325980663299560546875" "WordPress/4.7.4; http://sundog-soft.com"
77.75.78.167 - - [30/Apr/2017:04:40:09 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
77.75.78.167 - - [30/Apr/2017:04:40:14 +0000] "GET /docs/triton/inherits.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
142.160.107.21 - - [30/Apr/2017:04:40:15 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://sundog-soft.com/2015/05/simulated-water-refraction-using-transparency/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
54.210.20.202 - - [30/Apr/2017:04:41:10 +0000] "POST /wp-cron.php?doing_wp_cron=1493527270.5999140739440917968750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527270.5999140739440917968750" "WordPress/4.7.4; http://sundog-soft.com"
104.154.198.228 - - [30/Apr/2017:04:41:10 +0000] "GET /feed/ HTTP/1.1" 200 31812 "-" "Java/1.8.0_121"
66.249.64.194 - - [30/Apr/2017:04:42:34 +0000] "GET /sds/2015/11/were-pulling-our-packages-from-the-unity-asset-store/ HTTP/1.1" 301 292 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
54.210.20.202 - - [30/Apr/2017:04:42:36 +0000] "POST /wp-cron.php?doing_wp_cron=1493527356.0423069000244140625000 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527356.0423069000244140625000" "WordPress/4.7.4; http://sundog-soft.com"
66.249.64.194 - - [30/Apr/2017:04:42:35 +0000] "GET /2015/11/were-pulling-our-packages-from-the-unity-asset-store/ HTTP/1.1" 200 15232 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
27.197.175.231 - - [30/Apr/2017:04:43:13 +0000] "GET / HTTP/1.1" 200 20503 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"
199.21.99.207 - - [30/Apr/2017:04:45:44 +0000] "GET /docs/html/functions_func.html HTTP/1.1" 200 1364 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
54.210.20.202 - - [30/Apr/2017:04:46:33 +0000] "POST /wp-cron.php?doing_wp_cron=1493527593.7714629173278808593750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527593.7714629173278808593750" "WordPress/4.7.4; http://sundog-soft.com"
157.55.39.209 - - [30/Apr/2017:04:46:33 +0000] "GET /clients/visionscape/ HTTP/1.1" 200 13305 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
